player_id,x_bin,y_bin,point_count,standard_event_points,freeze_frame_points,density
3034,7,7,1,1,0,0.0017452006980802793
3034,8,5,1,1,0,0.0017452006980802793
3034,8,6,1,1,0,0.0017452006980802793
3034,9,2,1,1,0,0.0017452006980802793
3034,9,6,4,1,3,0.006980802792321117
3034,10,0,1,1,0,0.0017452006980802793
3034,10,2,1,0,1,0.0017452006980802793
3034,10,4,4,0,4,0.006980802792321117
3034,11,3,3,1,2,0.005235602094240838
3034,11,4,3,2,1,0.005235602094240838
3083,0,0,7,2,5,0.0103397341211226
3083,0,2,2,0,2,0.0029542097488921715
3083,0,3,1,0,1,0.0014771048744460858
3083,0,4,1,0,1,0.0014771048744460858
3083,0,5,2,0,2,0.0029542097488921715
3083,0,6,5,0,5,0.007385524372230428
3083,1,0,2,0,2,0.0029542097488921715
3083,1,1,1,1,0,0.0014771048744460858
3083,1,2,4,0,4,0.005908419497784343
3083,1,3,2,1,1,0.0029542097488921715
3083,1,4,2,0,2,0.0029542097488921715
3083,1,5,2,0,2,0.0029542097488921715
3083,1,6,2,0,2,0.0029542097488921715
3083,1,7,1,0,1,0.0014771048744460858
3083,2,0,5,1,4,0.007385524372230428
3083,2,1,11,3,8,0.01624815361890694
3083,2,2,9,1,8,0.013293943870014771
3083,2,3,1,0,1,0.0014771048744460858
3083,2,4,3,1,2,0.004431314623338257
3083,2,5,7,2,5,0.0103397341211226
3083,2,6,3,0,3,0.004431314623338257
3083,2,7,4,1,3,0.005908419497784343
3083,3,0,2,1,1,0.0029542097488921715
3083,3,1,5,0,5,0.007385524372230428
3083,3,2,3,0,3,0.004431314623338257
3083,3,3,4,1,3,0.005908419497784343
3083,3,4,3,1,2,0.004431314623338257
3083,3,5,1,0,1,0.0014771048744460858
3083,3,6,2,1,1,0.0029542097488921715
3083,3,7,4,1,3,0.005908419497784343
3083,4,0,12,3,9,0.01772525849335303
3083,4,1,6,1,5,0.008862629246676515
3083,4,2,3,1,2,0.004431314623338257
3083,4,3,3,2,1,0.004431314623338257
3083,4,4,3,2,1,0.004431314623338257
3083,4,6,11,3,8,0.01624815361890694
3083,4,7,3,0,3,0.004431314623338257
3083,5,0,14,5,9,0.0206794682422452
3083,5,1,3,1,2,0.004431314623338257
3083,5,2,10,4,6,0.014771048744460856
3083,5,3,6,1,5,0.008862629246676515
3083,5,4,2,1,1,0.0029542097488921715
3083,5,5,2,0,2,0.0029542097488921715
3083,5,6,2,1,1,0.0029542097488921715
3083,5,7,4,1,3,0.005908419497784343
3083,6,0,18,6,12,0.026587887740029542
3083,6,1,13,5,8,0.019202363367799114
3083,6,2,5,2,3,0.007385524372230428
3083,6,3,3,1,2,0.004431314623338257
3083,6,4,5,2,3,0.007385524372230428
3083,6,5,2,0,2,0.0029542097488921715
3083,6,6,4,1,3,0.005908419497784343
3083,6,7,2,1,1,0.0029542097488921715
3083,7,0,14,3,11,0.0206794682422452
3083,7,1,6,1,5,0.008862629246676515
3083,7,2,6,3,3,0.008862629246676515
3083,7,3,7,1,6,0.0103397341211226
3083,7,4,3,0,3,0.004431314623338257
3083,7,5,2,2,0,0.0029542097488921715
3083,7,6,8,2,6,0.011816838995568686
3083,7,7,3,2,1,0.004431314623338257
3083,8,0,10,2,8,0.014771048744460856
3083,8,1,19,6,13,0.028064992614475627
