team,defensive_style,actual_style,optimal_style,possessions,wasted_net_xg,mean_eva_gap
Saudi Arabia,Compact Pressure Block,Direct Long Play,Patient Build-up,8,0.05790768843222431,0.007238461054028039
Saudi Arabia,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,7,0.05066922737819627,0.007238461054028039
Saudi Arabia,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,6,0.046208289607182824,0.007701381601197137
Saudi Arabia,High-Intensity Press,Direct Long Play,Patient Build-up,2,0.014476922108056078,0.007238461054028039
Saudi Arabia,Compact Pressure Block,Patient Build-up,Patient Build-up,51,0.0,0.0
Saudi Arabia,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,4,0.0,0.0
Saudi Arabia,Wide Retreating Block,Patient Build-up,Patient Build-up,52,0.0,0.0
Senegal,Compact Pressure Block,Short Under Pressure,Patient Build-up,35,0.317490060866005,0.009071144596171572
Senegal,Wide Retreating Block,Short Under Pressure,Patient Build-up,29,0.2630631932889756,0.009071144596171572
Senegal,High-Intensity Press,Short Under Pressure,Patient Build-up,22,0.19956518111577456,0.009071144596171572
Senegal,Set-Piece Compact Shape,Short Under Pressure,Patient Build-up,14,0.126996024346402,0.009071144596171572
Senegal,Wide Retreating Block,Direct Long Play,Patient Build-up,15,0.1147307679641371,0.0076487178642758065
Senegal,Compact Pressure Block,Direct Long Play,Patient Build-up,12,0.09178461437130969,0.007648717864275807
Senegal,Set-Piece Compact Shape,Direct Long Play,Patient Build-up,8,0.06118974291420646,0.007648717864275807
Senegal,High-Intensity Press,Direct Long Play,Patient Build-up,2,0.015297435728551613,0.0076487178642758065
Senegal,Compact Pressure Block,Patient Build-up,Patient Build-up,42,0.0,0.0
Senegal,High-Intensity Press,Patient Build-up,Patient Build-up,1,0.0,0.0
Senegal,Set-Piece Compact Shape,Patient Build-up,Patient Build-up,4,0.0,0.0
Senegal,Wide Retreating Block,Patient Build-up,Patient Build-up,104,0.0,0.0
Serbia,Wide Retreating Block,Short Under Pressure,Patient Build-up,35,0.20928125714095613,0.0059794644897416035
Serbia,Compact Pressure Block,Short Under Pressure,Patient Build-up,25,0.1494866122435401,0.0059794644897416035
Serbia,High-Intensity Press,Short Under Pressure,Patient Build-up,22,0.13154821877431527,0.0059794644897416035
