layout,timing,target,model,fold,test_matches,test_rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece
Player-Aware,Retrospective,shot,Histogram Gradient Boosting,2,13,1945,0.119280205655527,0.2492892999152062,0.07711281770507425,0.884971918594118,0.516035129884897,0.02064628040041928
Player-Aware,Retrospective,shot,XGBoost,2,13,1945,0.119280205655527,0.24338246881961823,0.07492406666278839,0.8888016587153009,0.5292435695869236,0.011187073689883045
Player-Aware,Retrospective,shot,Logistic Regression,3,13,1975,0.13063291139240507,0.30173347117480953,0.09439462641498916,0.8486498444646107,0.4661899332187131,0.039045244608754824
Player-Aware,Retrospective,shot,Random Forest,3,13,1975,0.13063291139240507,0.2647520230271784,0.08177647544112102,0.8843665488299857,0.5390142130386341,0.02300183700194644
Player-Aware,Retrospective,shot,Gradient Boosting,3,13,1975,0.13063291139240507,0.2640858295129587,0.08156537363976511,0.8863282361067844,0.5497705649203167,0.027227291528441618
Player-Aware,Retrospective,shot,Histogram Gradient Boosting,3,13,1975,0.13063291139240507,0.2537879324614089,0.07829163090133824,0.8950260279105886,0.5692234193997476,0.02156793207325939
Player-Aware,Retrospective,shot,XGBoost,3,13,1975,0.13063291139240507,0.2518866956233978,0.07805828005075455,0.8938092851692832,0.5817843094454554,0.012669569097365002
Player-Aware,Retrospective,shot,Logistic Regression,4,13,1934,0.12202688728024819,0.28737667171812253,0.08986020234298242,0.8512332554750354,0.4232546224584546,0.0326572573463342
Player-Aware,Retrospective,shot,Random Forest,4,13,1934,0.12202688728024819,0.2623906628738321,0.08168906747726262,0.8742214170210219,0.4763072853952005,0.021036318743759542
Player-Aware,Retrospective,shot,Gradient Boosting,4,13,1934,0.12202688728024819,0.25686586426288516,0.0795085927305114,0.8844078776626538,0.5106155429322804,0.02701956299175118
Player-Aware,Retrospective,shot,Histogram Gradient Boosting,4,13,1934,0.12202688728024819,0.2607366626482274,0.0829907709103036,0.8777375177177537,0.4773039018030591,0.02492042163189947
Player-Aware,Retrospective,shot,XGBoost,4,13,1934,0.12202688728024819,0.2531754970550537,0.08030817657709122,0.8845526142420794,0.49416613698834577,0.02300838726036243
Player-Aware,Retrospective,shot,Soft Vote: All,0,12,1865,0.13083109919571045,0.26499316613809937,0.08414548797132633,0.8851599397255288,0.49231949719412244,0.019838466504223214
Player-Aware,Retrospective,shot,Soft Vote: All,1,13,1966,0.12054933875890132,0.24839085708414133,0.07670369279813188,0.8878305793695535,0.5285301234476255,0.014191233898632128
Player-Aware,Retrospective,shot,Soft Vote: All,2,13,1945,0.119280205655527,0.24364253076990797,0.07468728887160224,0.8891740644563882,0.5438098041073176,0.010160284984829649
Player-Aware,Retrospective,shot,Soft Vote: All,3,13,1975,0.13063291139240507,0.2553819751723443,0.07886406272783641,0.8910439607572249,0.56905300279009,0.012576041734353678
Player-Aware,Retrospective,shot,Soft Vote: All,4,13,1934,0.12202688728024819,0.2548062180473109,0.08035628312815171,0.8842431774171008,0.490641192907274,0.02278346190316724
Player-Aware,Retrospective,shot,Soft Vote: Boosting,0,12,1865,0.13083109919571045,0.2658028382221453,0.08462870909593723,0.8839969255974353,0.48722079234694404,0.02011600858958478
Player-Aware,Retrospective,shot,Soft Vote: Boosting,1,13,1966,0.12054933875890132,0.24960839878500224,0.07741805418015048,0.8859026827048146,0.5180930358284231,0.00900050606509008
Player-Aware,Retrospective,shot,Soft Vote: Boosting,2,13,1945,0.119280205655527,0.24472805059918518,0.07525441616831577,0.8881398836483684,0.5379722001480723,0.008865890805764979
Player-Aware,Retrospective,shot,Soft Vote: Boosting,3,13,1975,0.13063291139240507,0.25266767301549226,0.07833917751988066,0.8953781835091853,0.5766257188390758,0.015849263107591084
