layout,target,model,fold,test_matches,test_rows,positive_rate,log_loss,brier,roc_auc,pr_auc,ece
Player-Aware,box_entry,Soft Vote: Boosting,0,12,1865,0.33351206434316355,0.36789243118941495,0.11702266397077732,0.90171584668355,0.8404039936014172,0.028762534624085123
Player-Aware,box_entry,Soft Vote: Boosting,1,13,1966,0.3158697863682604,0.36198327797967417,0.11507573371693545,0.902476518865722,0.8211603599461406,0.020907852573441743
Player-Aware,box_entry,Soft Vote: Boosting,2,13,1945,0.3038560411311054,0.3537264218426796,0.11105339934262133,0.9034295825866582,0.8225791818862426,0.01946798052806717
Player-Aware,box_entry,Soft Vote: Boosting,3,13,1975,0.30278481012658226,0.36740989135110863,0.11766049317766065,0.8949002120357619,0.8022801673054369,0.028329182201106463
Player-Aware,box_entry,Soft Vote: Boosting,4,13,1934,0.3247156153050672,0.3629480276038013,0.11411164106900597,0.9026870104661485,0.8355915150028957,0.02383503623130146
Player-Aware,box_entry,Soft Vote: LR + XGB,0,12,1865,0.33351206434316355,0.3696391717981093,0.11799336779008407,0.9000305246357092,0.8353967195525218,0.022267593840260346
Player-Aware,box_entry,Soft Vote: LR + XGB,1,13,1966,0.3158697863682604,0.3634551441668417,0.11659369435324576,0.9008398733305796,0.817831157173277,0.019937123633669694
Player-Aware,box_entry,Soft Vote: LR + XGB,2,13,1945,0.3038560411311054,0.35719142694932426,0.11285159498296854,0.9007852899349424,0.8176822325189508,0.01827974657586829
Player-Aware,box_entry,Soft Vote: LR + XGB,3,13,1975,0.30278481012658226,0.36447247581883085,0.11656658684636469,0.8964510119667835,0.8014938588196472,0.014376877224846157
Player-Aware,box_entry,Soft Vote: LR + XGB,4,13,1934,0.3247156153050672,0.3653608484335958,0.1147958924502474,0.9010288136089191,0.8336809914231106,0.01876413283459289
Player-Aware,transition_conceded,Logistic Regression,0,12,1865,0.0005361930294906167,0.004914632239030288,0.0005702851010418139,0.8283261802575107,0.003115264797507788,0.0005922430996371708
Player-Aware,transition_conceded,Random Forest,0,12,1865,0.0005361930294906167,0.003963885639027673,0.0005438652307021696,0.9334763948497853,0.008,0.0005080648040298762
Player-Aware,transition_conceded,Gradient Boosting,0,12,1865,0.0005361930294906167,0.004879898076355553,0.0007303596725406708,0.8610515021459227,0.0038461538461538464,0.0004110128581740697
Player-Aware,transition_conceded,Histogram Gradient Boosting,0,12,1865,0.0005361930294906167,0.005301979273164684,0.0005392905475590342,0.8433476394849786,0.0034129692832764505,0.00041816574349718246
Player-Aware,transition_conceded,XGBoost,0,12,1865,0.0005361930294906167,0.004993994254618883,0.0005368561251088977,0.5,0.0005361930294906167,0.000974974821786079
Player-Aware,transition_conceded,Logistic Regression,1,13,1966,0.001017293997965412,0.013714968278627513,0.0018789429957035031,0.5814663951120163,0.0023749331518304246,0.0032956807452237625
Player-Aware,transition_conceded,Random Forest,1,13,1966,0.001017293997965412,0.013390418202318349,0.0010858294237085849,0.5577902240325866,0.0016962954550397132,0.0019302195848158038
Player-Aware,transition_conceded,Gradient Boosting,1,13,1966,0.001017293997965412,0.009105919076396603,0.0010199912939785108,0.44119144602851323,0.0020570285688602955,0.0003553181762555736
Player-Aware,transition_conceded,Histogram Gradient Boosting,1,13,1966,0.001017293997965412,0.010372403071556754,0.0010172643189814388,0.627673116089613,0.003123665992316116,0.0009435143608554274
Player-Aware,transition_conceded,XGBoost,1,13,1966,0.001017293997965412,0.00809087697416544,0.0010164235718548298,0.5,0.001017293997965412,0.00040551043309305446
Player-Aware,transition_conceded,Logistic Regression,2,13,1945,0.002056555269922879,0.020895342460316782,0.00199709361901575,0.4958784131890778,0.08500953662579212,0.00031976488751577647
Player-Aware,transition_conceded,Random Forest,2,13,1945,0.002056555269922879,0.022264423013318376,0.00212201700508178,0.615146831530139,0.00782417781321456,0.0015195107537955372
